xintercept	showSelected1	PANEL
-0.114301630605856	4.2	1
1.29256751862388	11.2	1
0.197655679783479	4.3	1
-1.40010879843018	4.5	1
0.807960530323619	1.7	1
2.13910040503497	11.8	1
-0.500636607136621	10.9	1
-0.114301630605856	4.2	2
1.29256751862388	11.2	2
0.197655679783479	4.3	2
-1.40010879843018	4.5	2
0.807960530323619	1.7	2
2.13910040503497	11.8	2
-0.500636607136621	10.9	2
-0.114301630605856	4.2	3
1.29256751862388	11.2	3
0.197655679783479	4.3	3
-1.40010879843018	4.5	3
0.807960530323619	1.7	3
2.13910040503497	11.8	3
-0.500636607136621	10.9	3
